Stimuli,IV,Stimuli_Audio,Group,StimuliType
nākzer,NA,nākzer.mp3,C,Filler
lagnay,NA,lagnay.mp3,C,Filler
surpāf,NA,surpāf.mp3,C,Filler
dekvan,NA,dekvan.mp3,C,Filler
čeqvum,NA,čeqvum.mp3,C,Filler
tuhnip,NA,tuhnip.mp3,C,Filler
yinrāk,NA,yinrāk.mp3,C,Filler
zelteb,NA,zelteb.mp3,C,Filler
pagnuy,NA,pagnuy.mp3,C,Filler
sebyon,NA,sebyon.mp3,C,Filler
fadrun,NA,fadrun.mp3,C,Filler
tekmaš,NA,tekmaš.mp3,C,Filler
fa?yin,NA,fa-yin.mp3,C,Filler
mābfav,NA,mābfav.mp3,C,Filler
dāpxas,NA,dāpxas.mp3,C,Filler
māvkep,NA,māvkep.mp3,C,Filler
kumfad,NA,kumfad.mp3,C,Filler
emrek,NA,emrek.mp3,C,Filler
šāpzef,NA,šāpzef.mp3,C,Filler
guprek,NA,guprek.mp3,C,Filler
zibdef,NA,zibdef.mp3,C,Filler
napsih,NA,napsih.mp3,C,Filler
tokša,NA,tokša.mp3,C,Filler
defbi,NA,defbi.mp3,C,Filler
kānze,NA,kānze.mp3,C,Filler
rābqe,NA,rābqe.mp3,C,Filler
givše,NA,givše.mp3,C,Filler
rivre,NA,rivre.mp3,C,Filler
pible,NA,pible.mp3,C,Filler
tāpfo,NA,tāpfo.mp3,C,Filler
teqnā,NA,teqnā.mp3,C,Filler
febdu,NA,febdu.mp3,C,Filler
lidnā,NA,lidnā.mp3,C,Filler
dāzke,NA,dāzke.mp3,C,Filler
xezbā,NA,xezbā.mp3,C,Filler
yarši,NA,yarši.mp3,C,Filler
tigre,NA,tigre.mp3,C,Filler
tevpā,NA,tevpā.mp3,C,Filler
vetre,NA,vetre.mp3,C,Filler
rāvlā,NA,rāvlā.mp3,C,Filler
bāxze,NA,bāxze.mp3,C,Filler
nāšvi,NA,nāšvi.mp3,C,Filler
lāmše,NA,lāmše.mp3,C,Filler
vapšu,NA,vapšu.mp3,C,Filler
gepsā,NA,gepsā.mp3,C,Filler
morku,NA,morku.mp3,C,Filler
norvā,NA,norvā.mp3,C,Filler
fijpe,NA,fijpe.mp3,C,Filler
yarget,NA,yarget.mp3,C,Filler
nutpā,NA,nutpā.mp3,C,Filler
ernāk,NA,ernāk.mp3,C,Filler
eskav,NA,eskav.mp3,C,Filler
ebzer,NA,ebzer.mp3,C,Filler
idkān,NA,idkān.mp3,C,Filler
āmšel,NA,āmšel.mp3,C,Filler
unzem,NA,unzem.mp3,C,Filler
ušvab,NA,ušvab.mp3,C,Filler
ipbex,NA,ipbex.mp3,C,Filler
optāx,NA,optāx.mp3,C,Filler
ānket,NA,ānket.mp3,C,Filler
efbuz,NA,efbuz.mp3,C,Filler
iktil,NA,iktil.mp3,C,Filler
ensit,NA,ensit.mp3,C,Filler
erhap,NA,erhap.mp3,C,Filler
andep,NA,andep.mp3,C,Filler
exrum,NA,exrum.mp3,C,Filler
utpān,NA,utpān.mp3,C,Filler
okyum,NA,okyum.mp3,C,Filler
otpaf,NA,otpaf.mp3,C,Filler
ivdeb,NA,ivdeb.mp3,C,Filler
ilsuv,NA,ilsuv.mp3,C,Filler
āptev,NA,āptev.mp3,C,Filler
ābsel,NA,ābsel.mp3,C,Filler
erpav,NA,erpav.mp3,C,Filler
āvnor,NA,āvnor.mp3,C,Filler
evreb,NA,evreb.mp3,C,Filler
ukmor,NA,ukmor.mp3,C,Filler
ezrul,NA,ezrul.mp3,C,Filler
apāyq,-3,apāyq.mp3,D,Stimuli
apāmd,L-2,apāmd.mp3,D,Stimuli
apāmč,-1,apāmč.mp3,D,Stimuli
apāqt,H0,apāqt.mp3,D,Stimuli
apākž,1,apākž.mp3,D,Stimuli
apāxl,L+2,apāxl.mp3,D,Stimuli
apāby,3,apāby.mp3,D,Stimuli
edeyq,-3,edeyq.mp3,D,Stimuli
edemd,L-2,edemd.mp3,D,Stimuli
edemč,-1,edemč.mp3,D,Stimuli
edeqt,H0,edeqt.mp3,D,Stimuli
edekž,1,edekž.mp3,D,Stimuli
edexl,L+2,edexl.mp3,D,Stimuli
edeby,3,edeby.mp3,D,Stimuli
ovayd,H-3,ovayd.mp3,D,Stimuli
ovarž,-2,ovarž.mp3,D,Stimuli
ovaym,L-1,ovaym.mp3,D,Stimuli
ovačj,0,ovačj.mp3,D,Stimuli
ovaks,H+1,ovaks.mp3,D,Stimuli
ovapn,2,ovapn.mp3,D,Stimuli
ova?y,L+3,ova-y.mp3,D,Stimuli
izuyd,H-3,izuyd.mp3,D,Stimuli
izurž,-2,izurž.mp3,D,Stimuli
izuym,L-1,izuym.mp3,D,Stimuli
izučj,0,izučj.mp3,D,Stimuli
izuks,H+1,izuks.mp3,D,Stimuli
izupn,2,izupn.mp3,D,Stimuli
izu?y,L+3,izu-y.mp3,D,Stimuli
esārp,-3,esārp.mp3,D,Stimuli
esārz,H-2,esārz.mp3,D,Stimuli
esāfp,-1,esāfp.mp3,D,Stimuli
esāmn,L0,esāmn.mp3,D,Stimuli
esābf,1,esābf.mp3,D,Stimuli
esākm,H+2,esākm.mp3,D,Stimuli
esāpr,3,esāpr.mp3,D,Stimuli
aterp,-3,aterp.mp3,D,Stimuli
aterz,H-2,aterz.mp3,D,Stimuli
atefp,-1,atefp.mp3,D,Stimuli
atemn,L0,atemn.mp3,D,Stimuli
atebf,1,atebf.mp3,D,Stimuli
atekm,H+2,atekm.mp3,D,Stimuli
atepr,3,atepr.mp3,D,Stimuli
āvey?,L-3,āvey-.mp3,D,Stimuli
āvemk,-2,āvemk.mp3,D,Stimuli
āvenj,H-1,āvenj.mp3,D,Stimuli
āvešz,0,āvešz.mp3,D,Stimuli
āvefn,L+1,āvefn.mp3,D,Stimuli
āvečr,2,āvečr.mp3,D,Stimuli
āveql,H+3,āveql.mp3,D,Stimuli
ojuy?,L-3,ojuy-.mp3,D,Stimuli
ojumk,-2,ojumk.mp3,D,Stimuli
ojunj,H-1,ojunj.mp3,D,Stimuli
ojušz,0,ojušz.mp3,D,Stimuli
ojufn,L+1,ojufn.mp3,D,Stimuli
ojučr,2,ojučr.mp3,D,Stimuli
ojuql,H+3,ojuql.mp3,D,Stimuli
eqāyp,-3,eqāyp.mp3,D,Stimuli
eqāls,L-2,eqāls.mp3,D,Stimuli
eqāmf,-1,eqāmf.mp3,D,Stimuli
eqāfš,H0,eqāfš.mp3,D,Stimuli
eqāmy,1,eqāmy.mp3,D,Stimuli
eqāfy,L+2,eqāfy.mp3,D,Stimuli
eqāky,3,eqāky.mp3,D,Stimuli
ileyp,-3,ileyp.mp3,D,Stimuli
ibels,L-2,ibels.mp3,D,Stimuli
ilemf,-1,ilemf.mp3,D,Stimuli
ilefš,H0,ilefš.mp3,D,Stimuli
ilemy,1,ilemy.mp3,D,Stimuli
ilefy,L+2,ilefy.mp3,D,Stimuli
ileky,3,ileky.mp3,D,Stimuli
očārd,H-3,očārd.mp3,D,Stimuli
očārh,-2,očārh.mp3,D,Stimuli
očāfq,L-1,očāfq.mp3,D,Stimuli
očādp,0,očādp.mp3,D,Stimuli
očāsm,H+1,očāsm.mp3,D,Stimuli
očāšl,2,očāšl.mp3,D,Stimuli
očādl,L+3,očādl.mp3,D,Stimuli
āgurd,H-3,āgurd.mp3,D,Stimuli
āgurh,-2,āgurh.mp3,D,Stimuli
āgufq,L-1,āgufq.mp3,D,Stimuli
āgudp,0,āgudp.mp3,D,Stimuli
āgusm,H+1,āgusm.mp3,D,Stimuli
āgušl,2,āgušl.mp3,D,Stimuli
āgudl,L+3,āgudl.mp3,D,Stimuli
efulg,-3,efulg.mp3,D,Stimuli
efund,H-2,efund.mp3,D,Stimuli
efučb,-1,efučb.mp3,D,Stimuli
efuyr,L0,efuyr.mp3,D,Stimuli
efujn,1,efujn.mp3,D,Stimuli
efuhr,H+2,efuhr.mp3,D,Stimuli
efupl,3,efupl.mp3,D,Stimuli
ivalg,-3,ivalg.mp3,D,Stimuli
ivand,H-2,ivand.mp3,D,Stimuli
ivačb,-1,ivačb.mp3,D,Stimuli
ivayr,L0,ivayr.mp3,D,Stimuli
ivajn,1,ivajn.mp3,D,Stimuli
ivahr,H+2,ivahr.mp3,D,Stimuli
ivapl,3,ivapl.mp3,D,Stimuli
oxel?,L-3,oxel-.mp3,D,Stimuli
oxelz,-2,oxelz.mp3,D,Stimuli
oxest,H-1,oxest.mp3,D,Stimuli
oxenm,0,oxenm.mp3,D,Stimuli
oxeds,L+1,oxeds.mp3,D,Stimuli
oxedm,2,oxedm.mp3,D,Stimuli
oxetr,H+3,oxetr.mp3,D,Stimuli
ibul?,L-3,ibul-.mp3,D,Stimuli
ibulz,-2,ibulz.mp3,D,Stimuli
ibust,H-1,ibust.mp3,D,Stimuli
ibunm,0,ibunm.mp3,D,Stimuli
ibuds,L+1,ibuds.mp3,D,Stimuli
ibudm,2,ibudm.mp3,D,Stimuli
ibutr,H+3,ibutr.mp3,D,Stimuli
šebal,NA,šebal.mp3,D,Filler
fedār,NA,fedār.mp3,D,Filler
vorād,NA,vorād.mp3,D,Filler
dakin,NA,dakin.mp3,D,Filler
rifam,NA,rifam.mp3,D,Filler
dāzoh,NA,dāzoh.mp3,D,Filler
besap,NA,besap.mp3,D,Filler
xeqad,NA,xeqad.mp3,D,Filler
zišax,NA,zišax.mp3,D,Filler
lārad,NA,lārad.mp3,D,Filler
soxāv,NA,soxāv.mp3,D,Filler
raqoj,NA,raqoj.mp3,D,Filler
sabay,NA,sabay.mp3,D,Filler
sidoq,NA,sidoq.mp3,D,Filler
yaboq,NA,yaboq.mp3,D,Filler
čepom,NA,čepom.mp3,D,Filler
rekem,NA,rekem.mp3,D,Filler
votik,NA,votik.mp3,D,Filler
šemag,NA,šemag.mp3,D,Filler
xasāp,NA,xasāp.mp3,D,Filler
rekup,NA,rekup.mp3,D,Filler
rulez,NA,rulez.mp3,D,Filler
selāb,NA,selāb.mp3,D,Filler
larib,NA,larib.mp3,D,Filler
kaves,NA,kaves.mp3,D,Filler
xerum,NA,xerum.mp3,D,Filler
debiv,NA,debiv.mp3,D,Filler
suvil,NA,suvil.mp3,D,Filler
lesfep,NA,lesfep.mp3,D,Filler
da?bal,NA,da-bal.mp3,D,Filler
kānbur,NA,kānbur.mp3,D,Filler
pavker,NA,pavker.mp3,D,Filler
jexpim,NA,jexpim.mp3,D,Filler
karyap,NA,karyap.mp3,D,Filler
nākzer,NA,nākzer.mp3,D,Filler
lagnay,NA,lagnay.mp3,D,Filler
surpāf,NA,surpāf.mp3,D,Filler
dekvan,NA,dekvan.mp3,D,Filler
čeqvum,NA,čeqvum.mp3,D,Filler
tuhnip,NA,tuhnip.mp3,D,Filler
yinrāk,NA,yinrāk.mp3,D,Filler
zelteb,NA,zelteb.mp3,D,Filler
pagnuy,NA,pagnuy.mp3,D,Filler
sebyon,NA,sebyon.mp3,D,Filler
fadrun,NA,fadrun.mp3,D,Filler
tekmaš,NA,tekmaš.mp3,D,Filler
fa?yin,NA,fa-yin.mp3,D,Filler
mābfav,NA,mābfav.mp3,D,Filler
dāpxas,NA,dāpxas.mp3,D,Filler
māvkep,NA,māvkep.mp3,D,Filler
kumfad,NA,kumfad.mp3,D,Filler
emrek,NA,emrek.mp3,D,Filler
šāpzef,NA,šāpzef.mp3,D,Filler
guprek,NA,guprek.mp3,D,Filler
zibdef,NA,zibdef.mp3,D,Filler
napsih,NA,napsih.mp3,D,Filler
tokša,NA,tokša.mp3,D,Filler
defbi,NA,defbi.mp3,D,Filler
kānze,NA,kānze.mp3,D,Filler
rābqe,NA,rābqe.mp3,D,Filler
givše,NA,givše.mp3,D,Filler
rivre,NA,rivre.mp3,D,Filler
pible,NA,pible.mp3,D,Filler
tāpfo,NA,tāpfo.mp3,D,Filler
teqnā,NA,teqnā.mp3,D,Filler
febdu,NA,febdu.mp3,D,Filler
lidnā,NA,lidnā.mp3,D,Filler
dāzke,NA,dāzke.mp3,D,Filler
xezbā,NA,xezbā.mp3,D,Filler
yarši,NA,yarši.mp3,D,Filler
tigre,NA,tigre.mp3,D,Filler
tevpā,NA,tevpā.mp3,D,Filler
vetre,NA,vetre.mp3,D,Filler
rāvlā,NA,rāvlā.mp3,D,Filler
bāxze,NA,bāxze.mp3,D,Filler
nāšvi,NA,nāšvi.mp3,D,Filler
lāmše,NA,lāmše.mp3,D,Filler
vapšu,NA,vapšu.mp3,D,Filler
gepsā,NA,gepsā.mp3,D,Filler
morku,NA,morku.mp3,D,Filler
norvā,NA,norvā.mp3,D,Filler
fijpe,NA,fijpe.mp3,D,Filler
yarget,NA,yarget.mp3,D,Filler
nutpā,NA,nutpā.mp3,D,Filler
ernāk,NA,ernāk.mp3,D,Filler
eskav,NA,eskav.mp3,D,Filler
ebzer,NA,ebzer.mp3,D,Filler
idkān,NA,idkān.mp3,D,Filler
āmšel,NA,āmšel.mp3,D,Filler
unzem,NA,unzem.mp3,D,Filler
ušvab,NA,ušvab.mp3,D,Filler
ipbex,NA,ipbex.mp3,D,Filler
optāx,NA,optāx.mp3,D,Filler
ānket,NA,ānket.mp3,D,Filler
efbuz,NA,efbuz.mp3,D,Filler
iktil,NA,iktil.mp3,D,Filler
ensit,NA,ensit.mp3,D,Filler
erhap,NA,erhap.mp3,D,Filler
andep,NA,andep.mp3,D,Filler
exrum,NA,exrum.mp3,D,Filler
utpān,NA,utpān.mp3,D,Filler
okyum,NA,okyum.mp3,D,Filler
otpaf,NA,otpaf.mp3,D,Filler
ivdeb,NA,ivdeb.mp3,D,Filler
ilsuv,NA,ilsuv.mp3,D,Filler
āptev,NA,āptev.mp3,D,Filler
ābsel,NA,ābsel.mp3,D,Filler
erpav,NA,erpav.mp3,D,Filler
āvnor,NA,āvnor.mp3,D,Filler
evreb,NA,evreb.mp3,D,Filler
ukmor,NA,ukmor.mp3,D,Filler
ezrul,NA,ezrul.mp3,D,Filler
apāyd,H-3,apāyd.mp3,E,Stimuli
apārž,-2,apārž.mp3,E,Stimuli
apāym,L-1,apāym.mp3,E,Stimuli
apāčj,0,apāčj.mp3,E,Stimuli
apāks,H+1,apāks.mp3,E,Stimuli
apāpn,2,apāpn.mp3,E,Stimuli
apā?y,L+3,apā-y.mp3,E,Stimuli
edeyd,H-3,edeyd.mp3,E,Stimuli
ederž,-2,ederž.mp3,E,Stimuli
edeym,L-1,edeym.mp3,E,Stimuli
edečj,0,edečj.mp3,E,Stimuli
edeks,H+1,edeks.mp3,E,Stimuli
edepn,2,edepn.mp3,E,Stimuli
ede?y,L+3,ede-y.mp3,E,Stimuli
ovarp,-3,ovarp.mp3,E,Stimuli
ovarz,H-2,ovarz.mp3,E,Stimuli
ovafp,-1,ovafp.mp3,E,Stimuli
ovamn,L0,ovamn.mp3,E,Stimuli
ovabf,1,ovabf.mp3,E,Stimuli
ovakm,H+2,ovakm.mp3,E,Stimuli
ovapr,3,ovapr.mp3,E,Stimuli
izurp,-3,izurp.mp3,E,Stimuli
izurz,H-2,izurz.mp3,E,Stimuli
izufp,-1,izufp.mp3,E,Stimuli
izumn,L0,izumn.mp3,E,Stimuli
izubf,1,izubf.mp3,E,Stimuli
izukm,H+2,izukm.mp3,E,Stimuli
izupr,3,izupr.mp3,E,Stimuli
esāy?,L-3,esāy-.mp3,E,Stimuli
esāmk,-2,esāmk.mp3,E,Stimuli
esānj,H-1,esānj.mp3,E,Stimuli
esāšz,0,esāšz.mp3,E,Stimuli
esāfn,L+1,esāfn.mp3,E,Stimuli
esāčr,2,esāčr.mp3,E,Stimuli
esāql,H+3,esāql.mp3,E,Stimuli
atey?,L-3,atey-.mp3,E,Stimuli
atemk,-2,atemk.mp3,E,Stimuli
atenj,H-1,atenj.mp3,E,Stimuli
atešz,0,atešz.mp3,E,Stimuli
atefn,L+1,atefn.mp3,E,Stimuli
atečr,2,atečr.mp3,E,Stimuli
ateql,H+3,ateql.mp3,E,Stimuli
āveyp,-3,āveyp.mp3,E,Stimuli
āvels,L-2,āvels.mp3,E,Stimuli
āvemf,-1,āvemf.mp3,E,Stimuli
āvefš,H0,āvefš.mp3,E,Stimuli
āvemy,1,āvemy.mp3,E,Stimuli
āvefy,L+2,āvefy.mp3,E,Stimuli
āveky,3,āveky.mp3,E,Stimuli
ojuyp,-3,ojuyp.mp3,E,Stimuli
ojuls,L-2,ojuls.mp3,E,Stimuli
ojumf,-1,ojumf.mp3,E,Stimuli
ojufš,H0,ojufš.mp3,E,Stimuli
ojumy,1,ojumy.mp3,E,Stimuli
ojufy,L+2,ojufy.mp3,E,Stimuli
ojuky,3,ojuky.mp3,E,Stimuli
eqārd,H-3,eqārd.mp3,E,Stimuli
eqārh,-2,eqārh.mp3,E,Stimuli
eqāfq,L-1,eqāfq.mp3,E,Stimuli
eqādp,0,eqādp.mp3,E,Stimuli
eqāsm,H+1,eqāsm.mp3,E,Stimuli
eqāšl,2,eqāšl.mp3,E,Stimuli
eqādl,L+3,eqādl.mp3,E,Stimuli
ilerd,H-3,ilerd.mp3,E,Stimuli
ilerh,-2,ilerh.mp3,E,Stimuli
ilefq,L-1,ilefq.mp3,E,Stimuli
iledp,0,iledp.mp3,E,Stimuli
ilesm,H+1,ilesm.mp3,E,Stimuli
ilešl,2,ilešl.mp3,E,Stimuli
iledl,L+3,iledl.mp3,E,Stimuli
očālg,-3,očālg.mp3,E,Stimuli
očānd,H-2,očānd.mp3,E,Stimuli
orāčb,-1,orāčb.mp3,E,Stimuli
očāyr,L0,očāyr.mp3,E,Stimuli
očājn,1,očājn.mp3,E,Stimuli
očāhr,H+2,očāhr.mp3,E,Stimuli
očāpl,3,očāpl.mp3,E,Stimuli
āgulg,-3,āgulg.mp3,E,Stimuli
āgund,H-2,āgund.mp3,E,Stimuli
āgučb,-1,āgučb.mp3,E,Stimuli
āguyr,L0,āguyr.mp3,E,Stimuli
āgujn,1,āgujn.mp3,E,Stimuli
āguhr,H+2,āguhr.mp3,E,Stimuli
āgupl,3,āgupl.mp3,E,Stimuli
eful?,L-3,eful-.mp3,E,Stimuli
efulz,-2,efulz.mp3,E,Stimuli
efust,H-1,efust.mp3,E,Stimuli
efunm,0,efunm.mp3,E,Stimuli
efuds,L+1,efuds.mp3,E,Stimuli
efudm,2,efudm.mp3,E,Stimuli
efutr,H+3,efutr.mp3,E,Stimuli
ival?,L-3,ival-.mp3,E,Stimuli
ivalz,-2,ivalz.mp3,E,Stimuli
ivast,H-1,ivast.mp3,E,Stimuli
ivanm,0,ivanm.mp3,E,Stimuli
ivads,L+1,ivads.mp3,E,Stimuli
ivadm,2,ivadm.mp3,E,Stimuli
ivatr,H+3,ivatr.mp3,E,Stimuli
oxeyq,-3,oxeyq.mp3,E,Stimuli
oxemd,L-2,oxemd.mp3,E,Stimuli
oxemč,-1,oxemč.mp3,E,Stimuli
oxeqt,H0,oxeqt.mp3,E,Stimuli
oxekž,1,oxekž.mp3,E,Stimuli
orexl,L+2,orexl.mp3,E,Stimuli
oxeby,3,oxeby.mp3,E,Stimuli
ibuyq,-3,ibuyq.mp3,E,Stimuli
ibumd,L-2,ibumd.mp3,E,Stimuli
ibumč,-1,ibumč.mp3,E,Stimuli
ibuqt,H0,ibuqt.mp3,E,Stimuli
ibukž,1,ibukž.mp3,E,Stimuli
ibuxl,L+2,ibuxl.mp3,E,Stimuli
iruby,3,iruby.mp3,E,Stimuli
šebal,NA,šebal.mp3,E,Filler
fedār,NA,fedār.mp3,E,Filler
vorād,NA,vorād.mp3,E,Filler
dakin,NA,dakin.mp3,E,Filler
rifam,NA,rifam.mp3,E,Filler
dāzoh,NA,dāzoh.mp3,E,Filler
besap,NA,besap.mp3,E,Filler
xeqad,NA,xeqad.mp3,E,Filler
zišax,NA,zišax.mp3,E,Filler
lārad,NA,lārad.mp3,E,Filler
soxāv,NA,soxāv.mp3,E,Filler
raqoj,NA,raqoj.mp3,E,Filler
sabay,NA,sabay.mp3,E,Filler
sidoq,NA,sidoq.mp3,E,Filler
yaboq,NA,yaboq.mp3,E,Filler
čepom,NA,čepom.mp3,E,Filler
rekem,NA,rekem.mp3,E,Filler
votik,NA,votik.mp3,E,Filler
šemag,NA,šemag.mp3,E,Filler
xasāp,NA,xasāp.mp3,E,Filler
rekup,NA,rekup.mp3,E,Filler
rulez,NA,rulez.mp3,E,Filler
selāb,NA,selāb.mp3,E,Filler
larib,NA,larib.mp3,E,Filler
kaves,NA,kaves.mp3,E,Filler
xerum,NA,xerum.mp3,E,Filler
debiv,NA,debiv.mp3,E,Filler
suvil,NA,suvil.mp3,E,Filler
lesfep,NA,lesfep.mp3,E,Filler
da?bal,NA,da-bal.mp3,E,Filler
kānbur,NA,kānbur.mp3,E,Filler
pavker,NA,pavker.mp3,E,Filler
jexpim,NA,jexpim.mp3,E,Filler
karyap,NA,karyap.mp3,E,Filler
nākzer,NA,nākzer.mp3,E,Filler
lagnay,NA,lagnay.mp3,E,Filler
surpāf,NA,surpāf.mp3,E,Filler
dekvan,NA,dekvan.mp3,E,Filler
čeqvum,NA,čeqvum.mp3,E,Filler
tuhnip,NA,tuhnip.mp3,E,Filler
yinrāk,NA,yinrāk.mp3,E,Filler
zelteb,NA,zelteb.mp3,E,Filler
pagnuy,NA,pagnuy.mp3,E,Filler
sebyon,NA,sebyon.mp3,E,Filler
fadrun,NA,fadrun.mp3,E,Filler
tekmaš,NA,tekmaš.mp3,E,Filler
fa?yin,NA,fa-yin.mp3,E,Filler
mābfav,NA,mābfav.mp3,E,Filler
dāpxas,NA,dāpxas.mp3,E,Filler
māvkep,NA,māvkep.mp3,E,Filler
kumfad,NA,kumfad.mp3,E,Filler
emrek,NA,emrek.mp3,E,Filler
šāpzef,NA,šāpzef.mp3,E,Filler
guprek,NA,guprek.mp3,E,Filler
zibdef,NA,zibdef.mp3,E,Filler
napsih,NA,napsih.mp3,E,Filler
tokša,NA,tokša.mp3,E,Filler
defbi,NA,defbi.mp3,E,Filler
kānze,NA,kānze.mp3,E,Filler
rābqe,NA,rābqe.mp3,E,Filler
givše,NA,givše.mp3,E,Filler
rivre,NA,rivre.mp3,E,Filler
pible,NA,pible.mp3,E,Filler
tāpfo,NA,tāpfo.mp3,E,Filler
teqnā,NA,teqnā.mp3,E,Filler
febdu,NA,febdu.mp3,E,Filler
lidnā,NA,lidnā.mp3,E,Filler
dāzke,NA,dāzke.mp3,E,Filler
xezbā,NA,xezbā.mp3,E,Filler
yarši,NA,yarši.mp3,E,Filler
tigre,NA,tigre.mp3,E,Filler
tevpā,NA,tevpā.mp3,E,Filler
vetre,NA,vetre.mp3,E,Filler
rāvlā,NA,rāvlā.mp3,E,Filler
bāxze,NA,bāxze.mp3,E,Filler
nāšvi,NA,nāšvi.mp3,E,Filler
lāmše,NA,lāmše.mp3,E,Filler
vapšu,NA,vapšu.mp3,E,Filler
gepsā,NA,gepsā.mp3,E,Filler
morku,NA,morku.mp3,E,Filler
norvā,NA,norvā.mp3,E,Filler
fijpe,NA,fijpe.mp3,E,Filler
yarget,NA,yarget.mp3,E,Filler
nutpā,NA,nutpā.mp3,E,Filler
ernāk,NA,ernāk.mp3,E,Filler
eskav,NA,eskav.mp3,E,Filler
ebzer,NA,ebzer.mp3,E,Filler
idkān,NA,idkān.mp3,E,Filler
āmšel,NA,āmšel.mp3,E,Filler
unzem,NA,unzem.mp3,E,Filler
ušvab,NA,ušvab.mp3,E,Filler
ipbex,NA,ipbex.mp3,E,Filler
optāx,NA,optāx.mp3,E,Filler
ānket,NA,ānket.mp3,E,Filler
efbuz,NA,efbuz.mp3,E,Filler
iktil,NA,iktil.mp3,E,Filler
ensit,NA,ensit.mp3,E,Filler
erhap,NA,erhap.mp3,E,Filler
andep,NA,andep.mp3,E,Filler
exrum,NA,exrum.mp3,E,Filler
utpān,NA,utpān.mp3,E,Filler
okyum,NA,okyum.mp3,E,Filler
otpaf,NA,otpaf.mp3,E,Filler
ivdeb,NA,ivdeb.mp3,E,Filler
ilsuv,NA,ilsuv.mp3,E,Filler
āptev,NA,āptev.mp3,E,Filler
ābsel,NA,ābsel.mp3,E,Filler
erpav,NA,erpav.mp3,E,Filler
āvnor,NA,āvnor.mp3,E,Filler
evreb,NA,evreb.mp3,E,Filler
ukmor,NA,ukmor.mp3,E,Filler
ezrul,NA,ezrul.mp3,E,Filler
apārp,-3,apārp.mp3,F,Stimuli
apārz,H-2,apārz.mp3,F,Stimuli
apāfp,-1,apāfp.mp3,F,Stimuli
apāmn,L0,apāmn.mp3,F,Stimuli
apābf,1,apābf.mp3,F,Stimuli
apākm,H+2,apākm.mp3,F,Stimuli
afāpr,3,afāpr.mp3,F,Stimuli
ederp,-3,ederp.mp3,F,Stimuli
ederz,H-2,ederz.mp3,F,Stimuli
edefp,-1,edefp.mp3,F,Stimuli
edemn,L0,edemn.mp3,F,Stimuli
edebf,1,edebf.mp3,F,Stimuli
edekm,H+2,edekm.mp3,F,Stimuli
edepr,3,edepr.mp3,F,Stimuli
ovay?,L-3,ovay-.mp3,F,Stimuli
ovamk,-2,ovamk.mp3,F,Stimuli
ovanj,H-1,ovanj.mp3,F,Stimuli
ovašz,0,ovašz.mp3,F,Stimuli
ovafn,L+1,ovafn.mp3,F,Stimuli
ovačr,2,ovačr.mp3,F,Stimuli
ovaql,H+3,ovaql.mp3,F,Stimuli
izuy?,L-3,izuy-.mp3,F,Stimuli
izumk,-2,izumk.mp3,F,Stimuli
izunj,H-1,izunj.mp3,F,Stimuli
izušz,0,izušz.mp3,F,Stimuli
izufn,L+1,izufn.mp3,F,Stimuli
izučr,2,izučr.mp3,F,Stimuli
izuql,H+3,izuql.mp3,F,Stimuli
esāyp,-3,esāyp.mp3,F,Stimuli
esāls,L-2,esāls.mp3,F,Stimuli
esāmf,-1,esāmf.mp3,F,Stimuli
esāfš,H0,esāfš.mp3,F,Stimuli
esāmy,1,esāmy.mp3,F,Stimuli
esāfy,L+2,esāfy.mp3,F,Stimuli
esāky,3,esāky.mp3,F,Stimuli
ateyp,-3,ateyp.mp3,F,Stimuli
atels,L-2,atels.mp3,F,Stimuli
atemf,-1,atemf.mp3,F,Stimuli
atefš,H0,atefš.mp3,F,Stimuli
atemy,1,atemy.mp3,F,Stimuli
atefy,L+2,atefy.mp3,F,Stimuli
ateky,3,ateky.mp3,F,Stimuli
āverd,H-3,āverd.mp3,F,Stimuli
āverh,-2,āverh.mp3,F,Stimuli
āvefq,L-1,āvefq.mp3,F,Stimuli
āvedp,0,āvedp.mp3,F,Stimuli
āvesm,H+1,āvesm.mp3,F,Stimuli
āvešl,2,āvešl.mp3,F,Stimuli
āvedl,L+3,āvedl.mp3,F,Stimuli
ojurd,H-3,ojurd.mp3,F,Stimuli
ojurh,-2,ojurh.mp3,F,Stimuli
ojufq,L-1,ojufq.mp3,F,Stimuli
ojudp,0,ojudp.mp3,F,Stimuli
ojusm,H+1,ojusm.mp3,F,Stimuli
ojušl,2,ojušl.mp3,F,Stimuli
ojudl,L+3,ojudl.mp3,F,Stimuli
eqālg,-3,eqālg.mp3,F,Stimuli
eqānd,H-2,eqānd.mp3,F,Stimuli
eqāčb,-1,eqāčb.mp3,F,Stimuli
eqāyr,L0,eqāyr.mp3,F,Stimuli
eqājn,1,eqājn.mp3,F,Stimuli
eqāhr,H+2,eqāhr.mp3,F,Stimuli
eqāpl,3,eqāpl.mp3,F,Stimuli
izelg,-3,izelg.mp3,F,Stimuli
ilend,H-2,ilend.mp3,F,Stimuli
ilečb,-1,ilečb.mp3,F,Stimuli
ileyr,L0,ileyr.mp3,F,Stimuli
ilejn,1,ilejn.mp3,F,Stimuli
ilehr,H+2,ilehr.mp3,F,Stimuli
ilepl,3,ilepl.mp3,F,Stimuli
očāl?,L-3,očāl-.mp3,F,Stimuli
očālz,-2,očālz.mp3,F,Stimuli
